video_name,mean_qp,quant,Resolution,Framerate,context,p1204_3_score,mos,ci,std,video_width,video_height,video_bitrate,video_codec,src,p1204_3_score_linearly_mapped
1280_720_3000K_av1_Center_Panorama.mkv,40.115,0.1573137254901961,921600,60,TV,3.652397945161534,3.0476190476190474,0.3937665290296089,0.9206622874969124,1280,720p,3000.0,av1,Center_Panorama,3.2685774710192304
1280_720_3000K_av1_DevilMayCry5_P2.mkv,129.27833333333334,0.5069738562091504,921600,60,TV,3.344349404549906,3.142857142857143,0.3650686263464024,0.8535639569308374,1280,720p,3000.0,av1,DevilMayCry5_P2,2.867290038841123
1280_720_3000K_av1_Fireworks.mkv,168.785,0.6619019607843137,921600,60,TV,3.068586077768547,3.380952380952381,0.3165029166236113,0.7400128699009549,1280,720p,3000.0,av1,Fireworks,2.5080597789825037
1280_720_3000K_av1_Flowers.mkv,135.415,0.5310392156862744,921600,60,TV,3.3090584837530224,2.9047619047619047,0.4035985521071569,0.9436504599035548,1280,720p,3000.0,av1,Flowers,2.821317404276245
1280_720_3000K_av1_PES2019v2_P2.mkv,98.785,0.3873921568627451,921600,60,TV,3.4872711785231894,2.952380952380953,0.344190001717332,0.8047478161629563,1280,720p,3000.0,av1,PES2019v2_P2,3.053470799724474
1280_720_500K_av1_Center_Panorama.mkv,94.02833333333334,0.3687385620915033,921600,60,TV,3.505353295486481,2.571428571428572,0.4184338641055196,0.9783367810436532,1280,720p,500.0,av1,Center_Panorama,3.0770259390221204
1280_720_500K_av1_DevilMayCry5_P2.mkv,217.955,0.8547254901960785,921600,60,TV,2.5150670704521216,1.5,0.3016320928506985,0.6882472016116853,1280,720p,500.0,av1,DevilMayCry5_P2,1.7870038679018498
1280_720_500K_av1_Fireworks.mkv,239.7933333333333,0.9403660130718954,921600,60,TV,2.1690116867989584,1.5714285714285714,0.289177442715808,0.6761234037828133,1280,720p,500.0,av1,Fireworks,1.3362058345079344
1280_720_500K_av1_Flowers.mkv,217.74,0.8538823529411765,921600,60,TV,2.51813541151068,1.380952380952381,0.2521681465399702,0.5895922723535711,1280,720p,500.0,av1,Flowers,1.7910009220738674
1280_720_500K_av1_PES2019v2_P2.mkv,181.38666666666663,0.7113202614379085,921600,60,TV,2.952487659749692,1.5714285714285714,0.2555991633881653,0.5976143046671969,1280,720p,500.0,av1,PES2019v2_P2,2.3568211593992876
1280_720_8000K_av1_Center_Panorama.mkv,25.33333333333333,0.0993464052287581,921600,60,TV,3.678556213346241,3.4761904761904763,0.3733264732457245,0.8728715609439694,1280,720p,8000.0,av1,Center_Panorama,3.3026532184622335
1280_720_8000K_av1_DevilMayCry5_P2.mkv,68.44666666666667,0.2684183006535948,921600,60,TV,3.586945509028787,3.761904761904762,0.3553962143314763,0.8309489698388165,1280,720p,8000.0,av1,DevilMayCry5_P2,3.1833141551360837
1280_720_8000K_av1_Fireworks.mkv,122.695,0.481156862745098,921600,60,TV,3.379575060121043,3.7142857142857135,0.3352151601561833,0.7837638128197258,1280,720p,8000.0,av1,Fireworks,2.91317765396459
1280_720_8000K_av1_Flowers.mkv,85.58666666666667,0.3356339869281046,921600,60,TV,3.535056427133876,3.4285714285714284,0.3721579994148018,0.870139561876632,1280,720p,8000.0,av1,Flowers,3.1157194949232956
1280_720_8000K_av1_PES2019v2_P2.mkv,48.88666666666666,0.1917124183006535,921600,60,TV,3.634481478417662,3.142857142857143,0.2799948549342934,0.6546536707079772,1280,720p,8000.0,av1,PES2019v2_P2,3.24523812028224
1920_1080_1000K_av1_Center_Panorama.mkv,102.65166666666669,0.4025555555555555,2073600,60,TV,4.053794585759106,3.619047619047619,0.3165029166236114,0.7400128699009549,1920,1080p,1000.0,av1,Center_Panorama,3.7914672301153267
1920_1080_1000K_av1_DevilMayCry5_P2.mkv,220.535,0.8648431372549019,2073600,60,TV,3.099314554834919,2.2857142857142856,0.3352151601561833,0.7837638128197257,1920,1080p,1000.0,av1,DevilMayCry5_P2,2.548089027724359
1920_1080_1000K_av1_Fireworks.mkv,245.8,0.963921568627451,2073600,60,TV,2.6564286620318454,2.095238095238096,0.4858625684971946,1.13599128098599,1920,1080p,1000.0,av1,Fireworks,1.9711522166685973
1920_1080_1000K_av1_Flowers.mkv,207.72666666666663,0.8146143790849673,2073600,60,TV,3.278777015123751,2.0476190476190474,0.3698099759783414,0.8646496675642958,1920,1080p,1000.0,av1,Flowers,2.7818704626848474
1920_1080_1000K_av1_PES2019v2_P2.mkv,184.2333333333333,0.7224836601307189,2073600,60,TV,3.5449131612555616,2.0,0.2342605027587306,0.5477225575051661,1920,1080p,1000.0,av1,PES2019v2_P2,3.128559625629645
1920_1080_12000K_av1_Center_Panorama.mkv,37.09,0.1454509803921568,2073600,60,TV,4.216594427132014,3.952380952380953,0.3165029166236113,0.7400128699009548,1920,1080p,12000.0,av1,Center_Panorama,4.003542671777301
1920_1080_12000K_av1_DevilMayCry5_P2.mkv,75.60833333333333,0.2965032679738562,2073600,60,TV,4.137280006570501,4.095238095238095,0.3286545422023256,0.768424485864545,1920,1080p,12000.0,av1,DevilMayCry5_P2,3.9002216818494473
1920_1080_12000K_av1_Fireworks.mkv,148.05166666666668,0.5805947712418301,2073600,60,TV,3.832825174945478,4.238095238095238,0.3553962143314763,0.8309489698388165,1920,1080p,12000.0,av1,Fireworks,3.5036156880198766
1920_1080_12000K_av1_Flowers.mkv,89.15333333333334,0.3496209150326797,2073600,60,TV,4.098965923130304,3.9,0.3453800884311548,0.7880689256524124,1920,1080p,12000.0,av1,Flowers,3.8503108459485613
1920_1080_12000K_av1_PES2019v2_P2.mkv,65.12166666666667,0.2553790849673202,2073600,60,TV,4.162798035120614,4.190476190476191,0.3206046374028952,0.7496030695673291,1920,1080p,12000.0,av1,PES2019v2_P2,3.9334634045039065
1920_1080_5000K_av1_Center_Panorama.mkv,51.85666666666667,0.203359477124183,2073600,60,TV,4.190622915342322,3.6666666666666665,0.3662597180145699,0.8563488385776752,1920,1080p,5000.0,av1,Center_Panorama,3.9697102074027706
1920_1080_5000K_av1_DevilMayCry5_P2.mkv,131.17833333333334,0.5144248366013072,2073600,60,TV,3.929558764496007,3.857142857142857,0.3893170468825808,0.9102589898327996,1920,1080p,5000.0,av1,DevilMayCry5_P2,3.629628210848357
1920_1080_5000K_av1_Fireworks.mkv,186.47833333333327,0.7312875816993464,2073600,60,TV,3.522578793953549,3.761904761904762,0.3286545422023256,0.768424485864545,1920,1080p,5000.0,av1,Fireworks,3.0994651819872487
1920_1080_5000K_av1_Flowers.mkv,138.08833333333334,0.5415228758169934,2073600,60,TV,3.8923351995713857,3.523809523809524,0.3479655077377157,0.8135752957807666,1920,1080p,5000.0,av1,Flowers,3.5811379672151347
1920_1080_5000K_av1_PES2019v2_P2.mkv,110.335,0.4326862745098039,2073600,60,TV,4.024503494091071,3.4761904761904763,0.3206046374028951,0.7496030695673289,1920,1080p,5000.0,av1,PES2019v2_P2,3.7533104287949204
2560_1440_1000K_av1_Center_Panorama.mkv,126.55833333333334,0.4963071895424836,3686400,60,TV,4.277282521969203,3.238095238095238,0.3553962143314763,0.8309489698388165,2560,1440p,1000.0,av1,Center_Panorama,4.082599594730559
2560_1440_1000K_av1_DevilMayCry5_P2.mkv,237.8,0.9325490196078432,3686400,60,TV,3.193790799564729,2.4285714285714284,0.4184338641055196,0.9783367810436532,2560,1440p,1000.0,av1,DevilMayCry5_P2,2.671160961693536
2560_1440_1000K_av1_Fireworks.mkv,251.3283333333333,0.9856013071895424,3686400,60,TV,2.921217036415582,2.4761904761904763,0.4194734529477873,0.9807674351775564,2560,1440p,1000.0,av1,Fireworks,2.316085669740941
2560_1440_1000K_av1_Flowers.mkv,223.42166666666665,0.8761633986928105,3686400,60,TV,3.435454332200913,2.2857142857142856,0.4307433665214512,1.0071175275436894,2560,1440p,1000.0,av1,Flowers,2.985970239056507
2560_1440_1000K_av1_PES2019v2_P2.mkv,206.9,0.8113725490196079,3686400,60,TV,3.662700168913977,1.761904761904762,0.2995348845448487,0.7003400534570262,2560,1440p,1000.0,av1,PES2019v2_P2,3.2819979303635076
2560_1440_12000K_av1_Center_Panorama.mkv,53.74,0.2107450980392157,3686400,60,TV,4.48139960226582,4.142857142857143,0.3893170468825808,0.9102589898327996,2560,1440p,12000.0,av1,Center_Panorama,4.348498010783078
2560_1440_12000K_av1_DevilMayCry5_P2.mkv,101.83333333333331,0.3993464052287581,3686400,60,TV,4.368979039162696,4.238095238095238,0.2995348845448487,0.7003400534570262,2560,1440p,12000.0,av1,DevilMayCry5_P2,4.202050444428443
2560_1440_12000K_av1_Fireworks.mkv,178.23,0.6989411764705882,3686400,60,TV,3.9577695019470474,3.619047619047619,0.3937665290296089,0.9206622874969124,2560,1440p,12000.0,av1,Fireworks,3.666377660688638
2560_1440_12000K_av1_Flowers.mkv,112.375,0.4406862745098039,3686400,60,TV,4.333453387002519,4.190476190476191,0.3206046374028952,0.7496030695673291,2560,1440p,12000.0,av1,Flowers,4.155772030956642
2560_1440_12000K_av1_PES2019v2_P2.mkv,95.38666666666668,0.3740653594771242,3686400,60,TV,4.388422755116965,4.285714285714286,0.3614718033947599,0.8451542547285165,2560,1440p,12000.0,av1,PES2019v2_P2,4.227379306015638
2560_1440_5000K_av1_Center_Panorama.mkv,76.85833333333333,0.3014052287581699,3686400,60,TV,4.436029976927759,4.238095238095238,0.2995348845448487,0.7003400534570262,2560,1440p,5000.0,av1,Center_Panorama,4.2893960899798005
2560_1440_5000K_av1_DevilMayCry5_P2.mkv,151.31833333333333,0.5934052287581699,3686400,60,TV,4.150598907617463,3.523809523809524,0.4407387420897599,1.0304876330673562,2560,1440p,5000.0,av1,DevilMayCry5_P2,3.9175718942216857
2560_1440_5000K_av1_Fireworks.mkv,212.855,0.8347254901960784,3686400,60,TV,3.5863594069452485,3.7142857142857135,0.36147180339476,0.8451542547285166,2560,1440p,5000.0,av1,Fireworks,3.182550654034503
2560_1440_5000K_av1_Flowers.mkv,157.51333333333332,0.6176993464052287,3686400,60,TV,4.111991358184068,3.6666666666666665,0.3403726193294459,0.7958224257542215,2560,1440p,5000.0,av1,Flowers,3.8672787672227527
2560_1440_5000K_av1_PES2019v2_P2.mkv,138.17666666666668,0.5418692810457517,3686400,60,TV,4.222889987138446,3.619047619047619,0.2861493232218596,0.6690433824641326,2560,1440p,5000.0,av1,PES2019v2_P2,4.0117437465302865
3840_2160_17000K_av1_Center_Panorama.mkv,75.03833333333333,0.2942679738562091,8294400,60,TV,4.4401169630088,4.181818181818182,0.2776712060052178,0.6644986392449885,3840,2160p,17000.0,av1,Center_Panorama,4.29472010854698
3840_2160_17000K_av1_DevilMayCry5_P2.mkv,112.90333333333334,0.4427581699346405,8294400,60,TV,4.33154149311288,3.857142857142857,0.3390906086749157,0.7928249671720919,3840,2160p,17000.0,av1,DevilMayCry5_P2,4.15328145272489
3840_2160_17000K_av1_Fireworks.mkv,199.4,0.7819607843137255,8294400,60,TV,3.750805471961027,4.142857142857143,0.3109498027666209,0.72702917999997,3840,2160p,17000.0,av1,Fireworks,3.3967705916811894
3840_2160_17000K_av1_Flowers.mkv,119.99833333333332,0.4705816993464052,8294400,60,TV,4.30455229203899,4.571428571428571,0.3192432527502795,0.746420027292179,3840,2160p,17000.0,av1,Flowers,4.118123268972497
3840_2160_17000K_av1_PES2019v2_P2.mkv,121.94,0.4781960784313725,8294400,60,TV,4.296721787274677,4.380952380952381,0.3165029166236114,0.7400128699009549,3840,2160p,17000.0,av1,PES2019v2_P2,4.107922658564506
3840_2160_3000K_av1_Center_Panorama.mkv,128.91,0.5055294117647059,8294400,60,TV,4.2669261988549465,4.380952380952381,0.3165029166236114,0.7400128699009549,3840,2160p,3000.0,av1,Center_Panorama,4.069108661447527
3840_2160_3000K_av1_DevilMayCry5_P2.mkv,219.89666666666668,0.8623398692810458,8294400,60,TV,3.488117540034009,3.0476190476190474,0.2861493232218595,0.6690433824641325,3840,2160p,3000.0,av1,DevilMayCry5_P2,3.0545733345285573
3840_2160_3000K_av1_Fireworks.mkv,249.61,0.9788627450980392,8294400,60,TV,2.9585547918852573,2.857142857142857,0.3390906086749157,0.7928249671720919,3840,2160p,3000.0,av1,Fireworks,2.3647246666534767
3840_2160_3000K_av1_Flowers.mkv,204.98166666666663,0.8038496732026144,8294400,60,TV,3.686059847679509,3.4761904761904763,0.4407387420897599,1.0304876330673562,3840,2160p,3000.0,av1,Flowers,3.3124280226136245
3840_2160_3000K_av1_PES2019v2_P2.mkv,194.29666666666665,0.7619477124183006,8294400,60,TV,3.806027185187684,3.0,0.4057510929847505,0.9486832980505138,3840,2160p,3000.0,av1,PES2019v2_P2,3.468706590654608
3840_2160_40000K_av1_Center_Panorama.mkv,57.35,0.2249019607843137,8294400,60,TV,4.47518191649958,4.285714285714286,0.3352151601561832,0.7837638128197257,3840,2160p,40000.0,av1,Center_Panorama,4.340398380931656
3840_2160_40000K_av1_DevilMayCry5_P2.mkv,63.20333333333333,0.2478562091503268,8294400,60,TV,4.464458956283587,4.190476190476191,0.3733264732457246,0.8728715609439697,3840,2160p,40000.0,av1,DevilMayCry5_P2,4.326429838305613
3840_2160_40000K_av1_Fireworks.mkv,168.00833333333333,0.6588562091503267,8294400,60,TV,4.039051263916017,4.142857142857143,0.433766164073712,1.01418510567422,3840,2160p,40000.0,av1,Fireworks,3.7722614589974315
3840_2160_40000K_av1_Flowers.mkv,75.80666666666667,0.297281045751634,8294400,60,TV,4.43840338784767,4.523809523809524,0.2572975153832486,0.6015852075182383,3840,2160p,40000.0,av1,Flowers,4.292487875357727
3840_2160_40000K_av1_PES2019v2_P2.mkv,82.14166666666667,0.3221241830065359,8294400,60,TV,4.423602721576289,4.666666666666667,0.2065983441015205,0.4830458915396479,3840,2160p,40000.0,av1,PES2019v2_P2,4.2732074030309475
3840_2160_8000K_av1_Center_Panorama.mkv,98.05833333333334,0.3845424836601307,8294400,60,TV,4.3805620735651445,4.190476190476191,0.3733264732457246,0.8728715609439697,3840,2160p,8000.0,av1,Center_Panorama,4.217139385031637
3840_2160_8000K_av1_DevilMayCry5_P2.mkv,156.57666666666665,0.6140261437908496,8294400,60,TV,4.118030163145807,4.333333333333333,0.3662597180145699,0.8563488385776752,3840,2160p,8000.0,av1,DevilMayCry5_P2,3.875145373348233
3840_2160_8000K_av1_Fireworks.mkv,227.43,0.8918823529411765,8294400,60,TV,3.372562007128728,3.6666666666666665,0.3123473370116407,0.7302967433402214,3840,2160p,8000.0,av1,Fireworks,2.9040419183385513
3840_2160_8000K_av1_Flowers.mkv,162.565,0.6375098039215686,8294400,60,TV,4.078123527771664,3.9,0.3453800884311548,0.7880689256524124,3840,2160p,8000.0,av1,Flowers,3.8231599583082456
3840_2160_8000K_av1_PES2019v2_P2.mkv,154.10166666666666,0.6043202614379085,8294400,60,TV,4.133637273334612,3.857142857142857,0.3390906086749157,0.792824967172092,3840,2160p,8000.0,av1,PES2019v2_P2,3.8954763807893045
